"path","lines","sha256","review_method"
"src/menhir/__init__.py","5","bd7fcf0269659e97fdc83a5dbecefcf29320dec11c3c453e5f5693a4eaf020ca","AST parse + structural scans; risk-selected manual trace"
"src/menhir/__main__.py","3","130acafaef8483625c857235eb995dace14121a5ba10eec2c7464c9f045153a7","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/__init__.py","2","28d07c7ef37dcd451770dc61d261c5f944a5f83248d03a718245f1aca44b2f30","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/auth_code_store.py","235","31ccc973ac00409db37b96a1f6ef566df31a0f0454cbdd1356e77975ad6f4106","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/auth_mode.py","84","cc80de66d60ba18b7227776149836982f3146b74656cf0364921b9de1974a677","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/auth.py","590","12629371bd20a226f447ce10992c5d3b3a6a3f33708b210ce48bb460f105d79f","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/client_token_store.py","260","52954e13001d8346396320add600313e8b0e066926f512de0a8df6a7295d7f83","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/errors.py","61","a9c5bf92b47e279da922993572c81c6d6c5553c203f0cc04e024a3a394fad0a4","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/jose_provider.py","110","e5395419db92cc48d7dd1f73d9789c0a8c0e886beb7e697ce9ef3c69b793d9bd","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/mcp_remote.py","57","19f48d170c28ea7e7fc6e07214ef8633e4b839d60ad4487b1e946e79ee08d584","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/oauth_as_metadata.py","48","d508601efb705f878691fad297818a4592b4460e773d12ce20eb76852a36fc9b","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/oauth_as_register.py","205","1b2de8963ab41285a5dc256e3935c749900fffbbde6cc9d923d017016423ee06","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/oauth_authorize.py","609","35e490f2990995763ae2da2c7c915e24166294942bc3dbd868a6de95bed3535f","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/oauth_client_store.py","236","be87fb25098237049b5e739b2508855434d48a0c0999e2eb68c2769ddbf84103","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/oauth_keys.py","83","7129a184db8db862e911af1a78e3dfaee510528d24bfd4cdd1a7fe9859212820","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/oauth_metadata.py","42","4fce8e151ea52fe6cc738ca9b8958493a084fa9e575fa8195e6f0f55d662403d","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/oauth_rate_limit.py","134","423e7a46a952ce8711fbdbc1d423f9f5824e6009e9840452a43fe1f6a15ed840","AST parse + structural scans; risk-selected manual trace"
"src/menhir/api/oauth_token.py","136","0f937f2aa18f4d5ef13e1ef84aef7e736a0dc7678bd277aae3f4d973b0a9af06","AST parse + structural scans; risk-selected manual trace"
